participant.code,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,Trust1_gen,Trust2_gen,Trust3_gen,Trust4_gen,Trust5_gen,Trust6_gen,q_gender,q_age,q_INK,q_INS,q_INK2,q_INS2,crt_bat,crt_widget,crt_lake,crt_bat01,crt_widget01,crt_lake01,crt,crt_HAP,crt_1st,crt_2nd,crt_3rd,crt_sup,bomb,boxes_collected
txqltpz1,3,4,2,2,3,2,2,3,4,4,3,4,2,4,4,3,4,4,2,2,4,2,4,3,2,2,2,4,2,2,female,20,y0,unknown,y0,unknown,10,100,16,0,0,0,0,5,2,4,3,4,0,17
6or7ta3m,4,3,3,3,3,3,3,3,2,2,3,2,3,4,3,4,3,3,3,4,3,3,3,3,5,5,5,5,5,5,male,20,y1-2,y8-10,y1-2,y8-10,10,100,47,0,0,1,1,7,3,2,2,3,1,51
innq8fug,2,2,1,5,2,2,1,2,2,3,2,2,3,1,3,3,3,1,3,3,1,2,1,2,4,3,2,2,3,2,male,25,y10-12,y10-12,y10-,y10-,10,60,96,0,0,0,0,4,1,3,4,3,1,60
329nft5h,2,2,2,2,4,1,4,3,3,4,3,2,4,4,4,2,2,3,4,1,3,4,4,4,2,2,2,2,5,5,female,22,y0,y0,y0,y0,5,5,47,1,1,1,3,8,1,4,1,1,1,51
096gr286,4,4,4,4,2,3,4,2,3,3,3,3,2,4,3,4,4,3,3,4,3,3,3,2,1,1,1,1,1,1,other,21,y1-2,y12-15,y1-2,y10-,5,5,5,1,1,0,2,5,3,3,3,1,0,23
vifh2vat,2,2,4,3,3,4,4,3,2,1,5,2,4,5,3,5,3,3,4,5,4,4,3,1,3,2,4,5,3,2,male,23,y1-2,y4-6,y1-2,y4-6,5,100,47,1,0,1,2,6,1,2,3,2,1,65
xq0tar2r,4,5,4,4,2,4,4,2,4,1,4,2,4,5,3,4,2,3,4,4,1,4,2,1,6,4,4,5,5,6,male,21,y1-2,y1-2,y1-2,y1-2,5,5,47,1,1,1,3,7,2,2,3,3,0,48
7x1l8nsv,4,4,1,4,2,1,1,2,2,2,4,1,4,5,2,4,2,4,4,4,5,1,2,1,2,5,5,6,5,6,male,21,y1-2,y6-8,y1-2,y6-8,5,5,47,1,1,1,3,6,2,3,1,1,0,40
9yc5bz4l,2,2,2,2,1,2,2,3,3,1,1,3,1,1,3,3,3,4,5,2,3,2,2,4,3,4,3,5,3,3,female,20,unknown,unknown,unknown,unknown,50,50,45,0,0,0,0,8,3,3,3,3,0,9
51tqbmy9,5,4,4,5,1,3,4,4,4,1,5,3,3,5,3,5,2,4,4,4,1,1,2,1,1,1,1,1,5,4,male,23,y1-2,unknown,y1-2,unknown,10,5,47,0,1,1,2,7,2,4,4,2,0,22
xnjjk1ow,3,2,4,2,2,2,4,5,2,2,4,3,4,4,4,2,2,3,4,2,4,4,3,4,3,3,3,3,3,5,female,20,y1-2,unknown,y1-2,unknown,5,5,12,1,1,0,2,5,3,3,3,4,1,43
q0gd8lx6,2,1,5,4,2,3,5,2,3,3,5,1,5,5,3,4,4,1,5,4,2,2,3,2,5,5,6,6,7,7,male,22,unknown,unknown,unknown,unknown,5,5,12,1,1,0,2,10,2,3,4,4,0,19
wbw183zp,3,2,4,2,4,2,5,3,3,2,4,2,5,5,3,3,2,3,4,3,4,4,4,3,2,2,3,4,2,5,female,20,y1-2,y4-6,y1-2,y4-6,10,5,24,0,1,0,1,5,3,2,3,2,1,27
jic8ive5,2,2,3,3,3,2,4,4,3,2,4,2,3,2,3,2,2,2,2,3,4,4,2,4,4,4,5,5,6,6,female,21,y1-2,unknown,y1-2,unknown,10,5,3,0,1,0,1,4,3,1,1,3,0,30
w8nxhpdg,3,1,4,1,4,2,4,3,2,3,4,2,4,4,4,4,1,4,4,3,2,4,4,4,5,1,3,3,5,5,female,21,y1-2,y12-15,y1-2,y10-,10,5,15,0,1,0,1,8,1,1,2,3,0,55
7qrxtxnu,3,2,4,2,4,4,4,2,4,2,2,3,2,5,2,5,3,5,4,4,3,4,4,2,1,1,1,1,1,1,female,21,y1-2,y10-12,y1-2,y10-,5,100,24,1,0,0,1,0,3,2,1,2,0,45
8dedqoec,3,3,4,3,3,4,3,3,2,2,4,2,4,4,3,3,2,3,3,3,3,3,3,3,2,2,2,2,5,4,female,21,y1-2,y0,y1-2,y0,5,5,47,1,1,1,3,8,2,2,1,1,1,100
q23jjpk3,2,4,4,4,2,1,5,1,3,4,4,3,4,2,3,2,4,4,2,2,4,3,3,5,3,4,5,5,3,6,male,20,y1-2,y8-10,y1-2,y8-10,5,5,1000000,1,1,0,2,7,2,2,3,3,1,61
8vh1ez5z,4,4,2,4,2,3,4,4,2,4,5,3,5,5,3,4,3,3,4,2,2,5,2,3,3,2,2,3,3,5,male,21,y1-2,unknown,y1-2,unknown,10,5,47,0,1,1,2,7,3,2,3,2,1,50
m21l3r2e,3,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,2,3,4,4,4,4,3,3,5,5,5,4,5,5,male,21,y0,y20-,y0,y10-,5,5,47,1,1,1,3,8,2,2,2,3,0,21
0tck0ikv,2,4,2,4,4,4,3,4,4,1,4,2,4,4,4,4,4,4,4,5,4,4,5,4,5,5,5,5,5,5,female,21,y1-2,y8-10,y1-2,y8-10,10,20,12,0,0,0,0,3,2,3,2,4,0,34
1jcj4fho,2,2,4,2,4,1,3,4,3,2,4,2,2,4,4,4,3,3,3,4,3,4,3,3,3,5,5,5,4,5,male,21,y1-2,unknown,y1-2,unknown,10,5,47,0,1,1,2,7,2,2,2,2,1,22
j3pun5da,5,2,3,5,1,2,1,2,4,4,1,1,2,5,2,4,4,5,2,1,4,2,2,5,6,6,6,2,7,5,male,21,y1-2,unknown,y1-2,unknown,5,5,47,1,1,1,3,7,1,2,3,1,1,26
e6zot1ae,4,3,2,2,2,4,4,4,3,4,4,1,1,3,4,3,4,4,2,4,4,3,2,2,6,5,6,5,5,3,female,21,y1-2,unknown,y1-2,unknown,10,100,24,0,0,0,0,3,2,3,1,2,0,24
w3ub20w3,4,4,2,4,3,1,3,2,4,2,4,2,2,5,4,4,2,5,2,2,1,1,4,2,5,1,2,2,1,2,female,20,y1-2,y2-4,y1-2,y2-4,10,100,24,0,0,0,0,2,1,1,4,1,1,34
jf4dm13x,4,5,2,3,4,2,3,4,5,2,2,4,1,4,2,4,5,5,1,2,1,1,4,2,2,2,2,2,3,5,female,20,y1-2,y1-2,y1-2,y1-2,5,100,20,1,0,0,1,8,4,4,4,1,0,70
oi7jd4yv,4,1,5,5,1,5,5,1,1,1,5,2,5,5,1,5,1,1,5,5,5,5,1,1,3,2,2,2,5,5,male,21,y1-2,y1-2,y1-2,y1-2,10,5,47,0,1,1,2,7,2,2,4,4,0,60
hrh8hilq,4,4,2,4,2,5,5,5,5,1,2,5,2,4,1,4,4,5,1,5,4,2,2,2,2,3,4,3,2,4,male,22,y1-2,unknown,y1-2,unknown,10,5,20,0,1,0,1,4,4,3,1,1,0,35
mw6pkh8u,2,2,4,2,4,2,4,4,2,4,4,2,4,4,4,2,2,2,4,2,3,4,4,4,2,5,5,5,4,5,male,23,y1-2,y1-2,y1-2,y1-2,5,5,47,1,1,1,3,10,3,2,3,3,0,49
nzu858jn,4,1,5,3,1,4,4,3,1,5,5,1,5,3,2,3,1,3,3,1,3,1,3,3,1,1,1,1,1,1,male,20,y1-2,y1-2,y1-2,y1-2,5,5,36,1,1,0,2,10,1,3,3,1,1,55
pb68558q,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,3,3,2,1,2,2,3,3,1,1,2,3,3,male,20,y1-2,y10-12,y1-2,y10-,10,5,30,0,1,0,1,10,3,1,2,2,0,14
k8mks6ae,2,1,4,2,4,3,3,4,4,2,4,2,4,5,3,2,3,4,4,3,2,2,4,4,4,4,4,4,5,6,male,22,y0,y10-12,y0,y10-,10,20,24,0,0,0,0,8,2,3,1,3,1,18
mzxq4d46,4,2,4,4,3,4,3,2,2,2,3,2,5,4,3,3,3,2,4,4,4,3,4,2,2,2,2,3,4,2,male,22,y1-2,y6-8,y1-2,y6-8,5,5,47,1,1,1,3,8,4,3,3,4,0,31
1t205o03,2,1,5,3,5,4,5,5,1,1,5,4,5,5,3,4,1,1,5,4,5,5,3,1,2,5,2,5,7,7,male,21,y1-2,y20-,y1-2,y10-,5,5,47,1,1,1,3,10,2,4,1,1,0,57
ot119e8a,2,2,3,4,2,4,4,2,4,3,3,4,2,4,2,4,4,4,2,3,3,3,3,2,3,3,1,3,2,2,female,21,y0,unknown,y0,unknown,10,5,47,0,1,1,2,6,3,3,2,2,1,100
8e34lel4,4,4,3,3,3,5,4,3,3,2,3,2,2,5,2,4,3,3,3,3,3,3,3,3,4,4,5,3,4,6,male,21,y1-2,y0,y1-2,y0,10,100,24,0,0,0,0,4,3,3,2,2,0,10
8g8mhy9l,1,1,5,1,1,1,5,5,3,2,4,1,3,5,5,2,2,3,5,3,3,3,3,4,3,4,5,3,6,4,female,21,y1-2,y15-20,y1-2,y10-,5,100,49,1,0,0,1,8,1,1,1,4,1,17
tkrm2h54,3,1,4,3,4,2,3,4,2,1,4,3,2,3,3,4,2,3,3,4,2,2,3,4,2,2,3,2,4,5,male,20,y1-2,y0,y1-2,y0,5,100,24,1,0,0,1,6,2,3,2,3,1,71
