participant.code,ratemo_1,ratemo_2,ratemo_3,ratemo_4,ratemo_5,ratemo_6,ratemo_7,ratemo_8,ratemo_9,ratemo_10,ratemo_11,ratemo_12,ratemo_13,ratemo_14,ratemo_15,ratemo_16,ratemo_17,ratemo_18,ratemo_19,ratemo_20,ratemo_21,ratemo_22,ratemo_23,ratemo_24,Trust1_gen,Trust2_gen,Trust3_gen,Trust4_gen,Trust5_gen,Trust6_gen,q_gender,q_age,q_INK,q_INS,q_INK2,q_INS2,crt_bat,crt_widget,crt_lake,crt_bat01,crt_widget01,crt_lake01,crt,crt_HAP,crt_1st,crt_2nd,crt_3rd,crt_sup,bomb,boxes_collected
uztpcikk,3,2,4,4,2,3,4,1,2,4,1,3,2,4,4,2,1,2,2,2,2,3,3,2,2,3,5,3,5,5,male,21,y1-2,y1-2,y1-2,y1-2,5,100,32,1,0,0,1,7,3,3,3,3,1,84
u17v9ulp,4,3,3,4,2,2,3,2,3,3,3,5,2,4,3,3,3,3,3,2,3,3,3,4,2,1,2,4,2,5,male,21,y1-2,y0,y1-2,y0,10,100,24,0,0,0,0,3,2,2,2,1,0,17
5d2hraka,3,1,5,4,3,3,4,1,5,3,3,3,3,5,2,2,2,3,3,2,2,4,3,5,1,1,2,1,3,5,male,20,y1-2,y10-12,y1-2,y10-,10,100,24,0,0,0,0,8,3,3,2,1,0,10
8hdeu1yv,4,2,4,4,3,4,4,1,2,2,5,4,5,5,2,4,2,2,4,3,4,4,2,2,2,1,1,2,2,3,female,21,y1-2,y0,y1-2,y0,5,5,4,1,1,0,2,3,3,2,3,1,1,56
9hxapzvj,4,5,2,4,2,5,2,1,3,1,4,1,2,5,1,5,5,5,2,5,4,2,2,1,5,5,6,6,6,6,male,21,y1-2,y10-12,y1-2,y10-,5,5,47,1,1,1,3,10,4,2,3,2,1,10
w10lwfq4,4,2,1,4,2,2,1,4,5,1,2,2,1,4,2,2,4,5,1,2,1,1,2,4,2,2,5,2,2,2,male,29,y0,y6-8,y0,y6-8,5,5,47,1,1,1,3,4,2,3,4,1,1,25
xftbvz3c,4,4,4,4,2,2,2,2,4,2,4,2,2,4,2,4,2,4,2,4,2,2,2,2,2,3,2,2,2,5,male,21,y1-2,y1-2,y1-2,y1-2,10,5,47,0,1,1,2,10,2,1,3,1,1,100
0knyt3gb,2,4,4,4,4,1,4,4,3,2,4,3,4,4,4,1,2,3,4,2,3,4,3,4,5,5,5,5,3,5,female,20,y1-2,y8-10,y1-2,y8-10,5,100,12,1,0,0,1,7,2,2,3,3,0,13
iqdpozuy,3,2,4,4,2,3,4,4,2,2,4,2,4,4,5,1,2,1,3,4,2,3,4,2,5,3,4,3,1,5,female,20,y1-2,y4-6,y1-2,y4-6,5,100,24,1,0,0,1,6,3,3,1,2,1,70
lxf7jwyw,2,2,1,3,3,2,1,2,1,3,1,2,5,2,2,1,3,3,2,1,2,3,3,3,4,3,5,4,3,4,female,20,y8-10,y8-10,y8-10,y8-10,10,100,24,0,0,0,0,9,3,3,2,3,0,14
ysus0fn6,2,3,4,2,4,2,4,4,4,3,4,3,4,4,4,3,3,4,2,4,2,3,4,4,5,3,5,5,5,5,female,21,y1-2,unknown,y1-2,unknown,10,5,72,0,1,0,1,6,3,3,3,2,0,36
7h494li4,2,3,3,2,4,2,4,4,3,2,4,4,2,4,2,4,4,4,2,2,3,2,4,3,4,3,3,3,3,5,male,21,y1-2,y1-2,y1-2,y1-2,5,5,47,1,1,1,3,8,2,3,3,1,0,53
qqrlo4i9,4,1,5,2,2,2,4,1,2,2,4,2,4,4,4,4,2,2,4,4,4,5,4,2,6,5,6,5,5,6,female,21,y0,unknown,y0,unknown,10,100,24,0,0,0,0,7,2,3,2,4,0,40
q5khc3sz,5,1,5,5,2,3,3,2,4,3,2,3,4,3,3,3,2,3,2,3,2,3,3,2,2,3,4,2,4,5,male,21,y1-2,y6-8,y1-2,y6-8,5,5,47,1,1,1,3,0,4,4,2,1,1,70
whe7d2bf,4,4,4,4,2,3,4,2,4,2,3,5,2,2,3,2,3,3,3,4,2,3,3,4,5,3,4,5,5,3,male,21,y1-2,y8-10,y1-2,y8-10,10,5,49,0,1,0,1,2,3,2,3,2,1,30
5ksyx874,3,2,5,2,5,1,4,4,2,3,4,3,5,4,4,4,2,2,4,1,3,4,4,3,3,5,4,3,3,5,female,20,y1-2,y6-8,y1-2,y6-8,10,100,24,0,0,0,0,4,3,2,1,2,1,34
7idpfc9e,2,5,5,3,5,2,5,2,5,2,2,2,2,1,4,2,4,5,1,2,2,4,3,2,1,1,3,5,7,5,male,19,y1-2,y8-10,y1-2,y8-10,5,5,12,1,1,0,2,0,4,2,1,4,1,86
eu5s3g2v,4,4,4,4,2,2,4,1,2,4,4,5,2,1,4,2,2,3,2,4,3,2,2,5,4,2,2,2,2,5,male,20,y0,y2-4,y0,y2-4,5,5,12,1,1,0,2,7,1,1,1,3,0,18
899qwrpz,4,4,4,3,2,2,4,2,3,2,4,2,2,4,2,4,4,2,4,4,2,2,2,2,5,5,5,4,3,5,female,22,y1-2,y4-6,y1-2,y4-6,5,5,47,1,1,1,3,2,2,3,1,1,0,20
fq8jziew,2,4,4,2,3,2,2,2,2,2,3,2,3,4,2,4,4,4,2,2,3,3,3,2,3,2,5,2,5,6,female,20,y1-2,y0,y1-2,y0,10,5,24,0,1,0,1,5,2,2,1,2,0,30
vb6vjt0s,1,2,3,2,4,5,2,3,1,3,2,3,3,5,1,3,2,1,3,3,1,4,3,5,3,5,3,2,3,5,male,20,y1-2,y8-10,y1-2,y8-10,10,100,16,0,0,0,0,9,2,3,2,2,0,11
dcjsa6wf,3,2,3,2,3,2,3,5,3,2,4,1,5,4,3,3,2,3,4,3,3,3,3,3,2,3,2,4,4,4,female,20,y1-2,y0,y1-2,y0,5,5,47,1,1,1,3,8,2,3,3,4,1,54
